school_year,division_name,school_name,total_count,total_count_stem,total_count_non_stem,pass_advanced_count,pass_advanced_count_stem,pass_advanced_count_non_stem,pass_proficient_count,fail_count,pass_count,pass_count_stem,pass_count_non_stem,year,test_level,test_source,school_level,CS_enrollment_rate,pass_advanced_rate,pass_advanced_rate_stem,pass_advanced_rate_non_stem,pass_rate,pass_rate_stem,pass_rate_non_stem
2021-2022,Accomack County,Arcadia High,1021,408,613,57,15,42,539,425,596,274,322,2022,EOC,SOL,High School,,5.582761998041136,3.6764705882352944,6.851549755301795,58.3741429970617,67.15686274509804,52.52854812398042
2021-2022,Accomack County,Chincoteague High,219,90,129,40,10,30,133,46,173,80,93,2022,EOC,SOL,High School,,18.2648401826484,11.11111111111111,23.25581395348837,78.99543378995433,88.88888888888889,72.09302325581395
2021-2022,Accomack County,Nandua High,893,335,558,78,24,54,553,262,631,279,352,2022,EOC,SOL,High School,,8.734602463605823,7.164179104477612,9.67741935483871,70.66069428891377,83.28358208955224,63.08243727598566
2021-2022,Albemarle County,Albemarle High,2413,1299,1114,325,96,229,1279,809,1604,825,779,2022,EOC,SOL,High School,8.220603537981269,13.468711147948612,7.390300230946882,20.556552962298024,66.47326978864484,63.51039260969977,69.92818671454219
2021-2022,Albemarle County,Community Lab School,177,116,61,14,9,5,125,38,139,92,47,2022,EOC,SOL,High School,1.6042780748663104,7.909604519774012,7.758620689655173,8.19672131147541,78.53107344632768,79.3103448275862,77.04918032786885
2021-2022,Albemarle County,Monticello High,1477,808,669,135,32,103,862,480,997,490,507,2022,EOC,SOL,High School,5.983606557377049,9.140148950575492,3.9603960396039604,15.396113602391628,67.50169262017603,60.64356435643564,75.7847533632287
2021-2022,Albemarle County,Western Albemarle High,1478,794,684,290,91,199,919,269,1209,624,585,2022,EOC,SOL,High School,9.92234685073339,19.621109607577807,11.460957178841308,29.093567251461987,81.79972936400542,78.58942065491183,85.52631578947368
2021-2022,Alexandria City,Alexandria City High,6367,2927,3440,596,122,474,2753,3018,3349,1395,1954,2022,EOC,SOL,High School,2.133938706015891,9.36076645201822,4.168090194738641,13.77906976744186,52.59934034867284,47.65971984967543,56.80232558139535
2021-2022,Alleghany County,Alleghany High,884,351,533,64,13,51,484,336,548,228,320,2022,EOC,SOL,High School,3.9383561643835616,7.239819004524888,3.7037037037037033,9.568480300187618,61.990950226244344,64.95726495726495,60.0375234521576
2021-2022,Amelia County,Amelia County High,732,425,307,36,8,28,437,259,473,280,193,2022,EOC,SOL,High School,5.465587044534413,4.918032786885246,1.8823529411764703,9.120521172638437,64.61748633879782,65.88235294117646,62.866449511400646
2021-2022,Amherst County,Amherst County High,1376,666,710,132,14,118,783,461,915,412,503,2022,EOC,SOL,High School,,9.593023255813954,2.1021021021021022,16.619718309859156,66.49709302325581,61.86186186186187,70.84507042253522
2021-2022,Appomattox County,Appomattox County High,874,382,492,65,9,56,599,210,664,293,371,2022,EOC,SOL,High School,,7.437070938215102,2.356020942408377,11.38211382113821,75.97254004576659,76.70157068062828,75.40650406504065
2021-2022,Arlington County,Arlington Community High,55,11,44,6,1,5,38,11,44,8,36,2022,EOC,SOL,High School,,10.909090909090908,9.090909090909092,11.363636363636363,80.0,72.72727272727273,81.81818181818183
2021-2022,Arlington County,Wakefield High,3466,1709,1757,547,116,431,1997,922,2544,1225,1319,2022,EOC,SOL,High School,11.275167785234899,15.781881130986728,6.787595084844939,24.530449630051223,73.39873052510099,71.6793446459918,75.07114399544679
2021-2022,Arlington County,Washington-Liberty High,2969,1464,1505,817,228,589,1586,566,2403,1166,1237,2022,EOC,SOL,High School,10.046082949308756,27.517682721455035,15.573770491803279,39.136212624584715,80.93634220276186,79.6448087431694,82.19269102990033
2021-2022,Arlington County,Yorktown High,2967,1403,1564,862,214,648,1796,309,2658,1242,1416,2022,EOC,SOL,High School,11.594202898550725,29.052915402763734,15.25302922309337,41.432225063938624,89.58543983822042,88.52459016393442,90.53708439897699
