School Year,Division Number,Division Name,School Number,School Name,Subject,Test Level,Test Source,Pass Advanced Count,Pass Proficient Count,Fail Count,Pass Count,Total Count,Pass Advanced Rate,Pass Proficient Rate,Fail Rate,Pass Rate,Average SOL Scaled Score
2021-2022,1,Accomack County ,540,Arcadia High,English:Reading,EOC,SOL,              21,              97,              39,             118,             157,    13.38,    61.78,    24.84,    75.16,  434
2021-2022,1,Accomack County ,540,Arcadia High,English:Writing,EOC,SOL,              14,              88,              58,             102,             160,     8.75,    55.00,    36.25,    63.75,  416
2021-2022,1,Accomack County ,540,Arcadia High,History and Social Science,EOC,SOL,               7,              95,             194,             102,             296,     2.36,    32.09,    65.54,    34.46,  386
2021-2022,1,Accomack County ,540,Arcadia High,Mathematics,EOC,SOL,               6,             139,              51,             145,             196,     3.06,    70.92,    26.02,    73.98,  418
2021-2022,1,Accomack County ,540,Arcadia High,Science,EOC,SOL,               9,             120,              83,             129,             212,     4.25,    56.60,    39.15,    60.85,  408
2021-2022,1,Accomack County ,704,Arcadia Middle ,Mathematics,EOC,SOL,              12,               5,               0,              17,              17,    70.59,    29.41,      .00,100.00,  523
2021-2022,1,Accomack County ,580,Chincoteague High,English:Reading,EOC,SOL,              12,              22,               3,              34,              37,    32.43,    59.46,     8.11,    91.89,  469
2021-2022,1,Accomack County ,580,Chincoteague High,English:Writing,EOC,SOL,              15,              21,               4,              36,              40,    37.50,    52.50,    10.00,    90.00,  469
2021-2022,1,Accomack County ,580,Chincoteague High,History and Social Science,EOC,SOL,               3,              20,              29,              23,              52,     5.77,    38.46,    55.77,    44.23,  402
2021-2022,1,Accomack County ,580,Chincoteague High,Mathematics,EOC,SOL,               7,              34,               3,              41,              44,    15.91,    77.27,     6.82,    93.18,  457
2021-2022,1,Accomack County ,580,Chincoteague High,Science,EOC,SOL,               3,              36,               7,              39,              46,     6.52,    78.26,    15.22,    84.78,  440
2021-2022,1,Accomack County ,70,Nandua High,English:Reading,EOC,SOL,              25,             105,              20,             130,             150,    16.67,    70.00,    13.33,    86.67,  448
2021-2022,1,Accomack County ,70,Nandua High,English:Writing,EOC,SOL,              23,              91,              47,             114,             161,    14.29,    56.52,    29.19,    70.81,  425
2021-2022,1,Accomack County ,70,Nandua High,History and Social Science,EOC,SOL,               6,             102,             139,             108,             247,     2.43,    41.30,    56.28,    43.72,  390
2021-2022,1,Accomack County ,70,Nandua High,Mathematics,EOC,SOL,               8,             151,              16,             159,             175,     4.57,    86.29,     9.14,    90.86,  438
2021-2022,1,Accomack County ,70,Nandua High,Science,EOC,SOL,              16,             104,              40,             120,             160,    10.00,    65.00,    25.00,    75.00,  429
2021-2022,1,Accomack County ,703,Nandua Middle,Mathematics,EOC,SOL,               8,              12,               0,              20,              20,    40.00,    60.00,      .00,100.00,  481
2021-2022,1,Accomack County ,530,Tangier Combined,English:Reading,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,530,Tangier Combined,English:Writing,EOC,SOL,<,<,<,<,<,<,<,<50,>50,  459
2021-2022,1,Accomack County ,530,Tangier Combined,History and Social Science,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,530,Tangier Combined,Mathematics,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,530,Tangier Combined,Science,EOC,SOL,<,<,<,<,<,<,<,>50,<50,
2021-2022,2,Albemarle County ,880,Albemarle High,English:Reading,EOC,SOL,             152,             237,              95,             389,             484,    31.40,    48.97,    19.63,    80.37,  459
2021-2022,2,Albemarle County ,880,Albemarle High,English:Writing,EOC,SOL,<,<,<,<,<,<,<,>50,<50,  382
2021-2022,2,Albemarle County ,880,Albemarle High,History and Social Science,EOC,SOL,              77,             313,             240,             390,             630,    12.22,    49.68,    38.10,    61.90,  420
2021-2022,2,Albemarle County ,880,Albemarle High,Mathematics,EOC,SOL,              40,             331,             179,             371,             550,     7.27,    60.18,    32.55,    67.45,  420
2021-2022,2,Albemarle County ,880,Albemarle High,Science,EOC,SOL,              56,             398,             295,             454,             749,     7.48,    53.14,    39.39,    60.61,  413
2021-2022,2,Albemarle County ,890,Community Lab School,English:Reading,EOC,SOL,               5,              22,               1,              27,              28,    17.86,    78.57,     3.57,    96.43,  469
2021-2022,2,Albemarle County ,890,Community Lab School,English:Writing,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,2,Albemarle County ,890,Community Lab School,History and Social Science,EOC,SOL,               0,              20,              13,              20,              33,      .00,    60.61,    39.39,    60.61,  409
2021-2022,2,Albemarle County ,890,Community Lab School,Mathematics,EOC,SOL,               1,              45,              17,              46,              63,     1.59,    71.43,    26.98,    73.02,  412
2021-2022,2,Albemarle County ,890,Community Lab School,Science,EOC,SOL,               8,              38,               7,              46,              53,    15.09,    71.70,    13.21,    86.79,  434
2021-2022,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,EOC,SOL,              32,             133,              14,             165,             179,    17.88,    74.30,     7.82,    92.18,  447
2021-2022,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,EOC,SOL,              70,              96,               9,             166,             175,    40.00,    54.86,     5.14,    94.86,  484
2021-2022,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,EOC,SOL,              54,             213,              15,             267,             282,    19.15,    75.53,     5.32,    94.68,  461
2021-2022,2,Albemarle County ,1051,Lakeside Middle,Mathematics,EOC,SOL,              41,             161,               7,             202,             209,    19.62,    77.03,     3.35,    96.65,  461
2021-2022,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,EOC,SOL,              17,              70,              12,              87,              99,    17.17,    70.71,    12.12,    87.88,  435
2021-2022,2,Albemarle County ,1052,Monticello High,English:Reading,EOC,SOL,              91,             202,              45,             293,             338,    26.92,    59.76,    13.31,    86.69,  460
