School Year,Division Number,Division Name,School Number,School Name,Subject,Gender,Test Level,Test Source,Pass Advanced Count,Pass Proficient Count,Fail Count,Pass Count,Total Count,Pass Advanced Rate,Pass Proficient Rate,Fail Rate,Pass Rate,Average SOL Scaled Score
2021-2022,1,Accomack County ,540,Arcadia High,English:Reading,F,EOC,SOL,               8,              55,              13,              63,              76,    10.53,    72.37,    17.11,    82.89,  439
2021-2022,1,Accomack County ,540,Arcadia High,English:Reading,M,EOC,SOL,              13,              42,              26,              55,              81,    16.05,    51.85,    32.10,    67.90,  429
2021-2022,1,Accomack County ,540,Arcadia High,English:Writing,F,EOC,SOL,               9,              50,              19,              59,              78,    11.54,    64.10,    24.36,    75.64,  431
2021-2022,1,Accomack County ,540,Arcadia High,English:Writing,M,EOC,SOL,               5,              38,              39,              43,              82,     6.10,    46.34,    47.56,    52.44,  402
2021-2022,1,Accomack County ,540,Arcadia High,History and Social Science,F,EOC,SOL,               4,              48,              90,              52,             142,     2.82,    33.80,    63.38,    36.62,  392
2021-2022,1,Accomack County ,540,Arcadia High,History and Social Science,M,EOC,SOL,               3,              47,             104,              50,             154,     1.95,    30.52,    67.53,    32.47,  381
2021-2022,1,Accomack County ,540,Arcadia High,Mathematics,F,EOC,SOL,               6,              67,              22,              73,              95,     6.32,    70.53,    23.16,    76.84,  425
2021-2022,1,Accomack County ,540,Arcadia High,Mathematics,M,EOC,SOL,               0,              72,              29,              72,             101,      .00,    71.29,    28.71,    71.29,  412
2021-2022,1,Accomack County ,540,Arcadia High,Science,F,EOC,SOL,               6,              70,              31,              76,             107,     5.61,    65.42,    28.97,    71.03,  416
2021-2022,1,Accomack County ,540,Arcadia High,Science,M,EOC,SOL,               3,              50,              52,              53,             105,     2.86,    47.62,    49.52,    50.48,  400
2021-2022,1,Accomack County ,704,Arcadia Middle ,Mathematics,F,EOC,SOL,<,<,<,<,<,<,<,<50,>50,  522
2021-2022,1,Accomack County ,704,Arcadia Middle ,Mathematics,M,EOC,SOL,<,<,<,<,<,<,<,<50,>50,  524
2021-2022,1,Accomack County ,580,Chincoteague High,English:Reading,F,EOC,SOL,               6,              12,               2,              18,              20,    30.00,    60.00,    10.00,    90.00,  472
2021-2022,1,Accomack County ,580,Chincoteague High,English:Reading,M,EOC,SOL,               6,              10,               1,              16,              17,    35.29,    58.82,     5.88,    94.12,  466
2021-2022,1,Accomack County ,580,Chincoteague High,English:Writing,F,EOC,SOL,              10,               9,               3,              19,              22,    45.45,    40.91,    13.64,    86.36,  477
2021-2022,1,Accomack County ,580,Chincoteague High,English:Writing,M,EOC,SOL,               5,              12,               1,              17,              18,    27.78,    66.67,     5.56,    94.44,  459
2021-2022,1,Accomack County ,580,Chincoteague High,History and Social Science,F,EOC,SOL,               1,              12,              15,              13,              28,     3.57,    42.86,    53.57,    46.43,  405
2021-2022,1,Accomack County ,580,Chincoteague High,History and Social Science,M,EOC,SOL,               2,               8,              14,              10,              24,     8.33,    33.33,    58.33,    41.67,  400
2021-2022,1,Accomack County ,580,Chincoteague High,Mathematics,F,EOC,SOL,               2,              18,               1,              20,              21,     9.52,    85.71,     4.76,    95.24,  458
2021-2022,1,Accomack County ,580,Chincoteague High,Mathematics,M,EOC,SOL,               5,              16,               2,              21,              23,    21.74,    69.57,     8.70,    91.30,  457
2021-2022,1,Accomack County ,580,Chincoteague High,Science,F,EOC,SOL,               1,              19,               4,              20,              24,     4.17,    79.17,    16.67,    83.33,  437
2021-2022,1,Accomack County ,580,Chincoteague High,Science,M,EOC,SOL,               2,              17,               3,              19,              22,     9.09,    77.27,    13.64,    86.36,  443
2021-2022,1,Accomack County ,70,Nandua High,English:Reading,F,EOC,SOL,               9,              48,               5,              57,              62,    14.52,    77.42,     8.06,    91.94,  453
2021-2022,1,Accomack County ,70,Nandua High,English:Reading,M,EOC,SOL,              16,              56,              15,              72,              87,    18.39,    64.37,    17.24,    82.76,  443
2021-2022,1,Accomack County ,70,Nandua High,English:Writing,F,EOC,SOL,              11,              42,              15,              53,              68,    16.18,    61.76,    22.06,    77.94,  438
2021-2022,1,Accomack County ,70,Nandua High,English:Writing,M,EOC,SOL,              11,              49,              32,              60,              92,    11.96,    53.26,    34.78,    65.22,  415
2021-2022,1,Accomack County ,70,Nandua High,History and Social Science,F,EOC,SOL,               3,              55,              70,              58,             128,     2.34,    42.97,    54.69,    45.31,  391
2021-2022,1,Accomack County ,70,Nandua High,History and Social Science,M,EOC,SOL,               3,              47,              69,              50,             119,     2.52,    39.50,    57.98,    42.02,  389
2021-2022,1,Accomack County ,70,Nandua High,Mathematics,F,EOC,SOL,               5,              81,               7,              86,              93,     5.38,    87.10,     7.53,    92.47,  440
2021-2022,1,Accomack County ,70,Nandua High,Mathematics,M,EOC,SOL,               3,              70,               9,              73,              82,     3.66,    85.37,    10.98,    89.02,  436
2021-2022,1,Accomack County ,70,Nandua High,Science,F,EOC,SOL,               4,              47,              18,              51,              69,     5.80,    68.12,    26.09,    73.91,  425
2021-2022,1,Accomack County ,70,Nandua High,Science,M,EOC,SOL,              12,              57,              22,              69,              91,    13.19,    62.64,    24.18,    75.82,  432
2021-2022,1,Accomack County ,703,Nandua Middle,Mathematics,F,EOC,SOL,               3,               7,               0,              10,              10,    30.00,    70.00,      .00,100.00,  471
2021-2022,1,Accomack County ,703,Nandua Middle,Mathematics,M,EOC,SOL,               5,               5,               0,              10,              10,    50.00,    50.00,      .00,100.00,  490
2021-2022,1,Accomack County ,530,Tangier Combined,English:Reading,F,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,530,Tangier Combined,English:Reading,M,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,530,Tangier Combined,English:Writing,F,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,530,Tangier Combined,English:Writing,M,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,530,Tangier Combined,History and Social Science,F,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,530,Tangier Combined,History and Social Science,M,EOC,SOL,<,<,<,<,<,<,<,>50,<50,
2021-2022,1,Accomack County ,530,Tangier Combined,Mathematics,F,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,530,Tangier Combined,Science,F,EOC,SOL,<,<,<,<,<,<,<,>50,<50,
2021-2022,1,Accomack County ,530,Tangier Combined,Science,M,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,2,Albemarle County ,880,Albemarle High,English:Reading,F,EOC,SOL,              89,             117,              40,             206,             246,    36.18,    47.56,    16.26,    83.74,  467
2021-2022,2,Albemarle County ,880,Albemarle High,English:Reading,M,EOC,SOL,              63,             120,              55,             183,             238,    26.47,    50.42,    23.11,    76.89,  450
2021-2022,2,Albemarle County ,880,Albemarle High,English:Writing,M,EOC,SOL,<,<,<,<,<,<,<,>50,<50,  382
