School Year,Division Number,Division Name,School Number,School Name,Subject,Race,Test Level,Test Source,Pass Advanced Count,Pass Proficient Count,Fail Count,Pass Count,Total Count,Pass Advanced Rate,Pass Proficient Rate,Fail Rate,Pass Rate,Average SOL Scaled Score
2021-2022,1,Accomack County ,540,Arcadia High,English:Reading,Asian,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,540,Arcadia High,English:Writing,Asian,EOC,SOL,<,<,<,<,<,<,<,>50,<50,
2021-2022,1,Accomack County ,540,Arcadia High,Science,Asian,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,540,Arcadia High,English:Reading,"Black, not of Hispanic origin",EOC,SOL,               0,              41,              13,              41,              54,      .00,    75.93,    24.07,    75.93,  418
2021-2022,1,Accomack County ,540,Arcadia High,English:Writing,"Black, not of Hispanic origin",EOC,SOL,               0,              31,              24,              31,              55,      .00,    56.36,    43.64,    56.36,  395
2021-2022,1,Accomack County ,540,Arcadia High,History and Social Science,"Black, not of Hispanic origin",EOC,SOL,               0,              21,              90,              21,             111,      .00,    18.92,    81.08,    18.92,  371
2021-2022,1,Accomack County ,540,Arcadia High,Mathematics,"Black, not of Hispanic origin",EOC,SOL,               0,              50,              23,              50,              73,      .00,    68.49,    31.51,    68.49,  407
2021-2022,1,Accomack County ,540,Arcadia High,Science,"Black, not of Hispanic origin",EOC,SOL,               0,              35,              40,              35,              75,      .00,    46.67,    53.33,    46.67,  390
2021-2022,1,Accomack County ,540,Arcadia High,English:Reading,Hispanic,EOC,SOL,               7,              24,              16,              31,              47,    14.89,    51.06,    34.04,    65.96,  425
2021-2022,1,Accomack County ,540,Arcadia High,English:Writing,Hispanic,EOC,SOL,               4,              26,              17,              30,              47,     8.51,    55.32,    36.17,    63.83,  417
2021-2022,1,Accomack County ,540,Arcadia High,History and Social Science,Hispanic,EOC,SOL,               2,              40,              54,              42,              96,     2.08,    41.67,    56.25,    43.75,  393
2021-2022,1,Accomack County ,540,Arcadia High,Mathematics,Hispanic,EOC,SOL,               4,              39,              15,              43,              58,     6.90,    67.24,    25.86,    74.14,  424
2021-2022,1,Accomack County ,540,Arcadia High,Science,Hispanic,EOC,SOL,               2,              48,              25,              50,              75,     2.67,    64.00,    33.33,    66.67,  408
2021-2022,1,Accomack County ,540,Arcadia High,English:Reading,"Non-Hispanic, two or more races",EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,540,Arcadia High,English:Writing,"Non-Hispanic, two or more races",EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,540,Arcadia High,History and Social Science,"Non-Hispanic, two or more races",EOC,SOL,<,<,<,<,<,<,<,>50,<50,  371
2021-2022,1,Accomack County ,540,Arcadia High,Mathematics,"Non-Hispanic, two or more races",EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,540,Arcadia High,Science,"Non-Hispanic, two or more races",EOC,SOL,<,<,<,<,<,<,<,>50,<50,
2021-2022,1,Accomack County ,540,Arcadia High,English:Reading,"White, not of Hispanic origin",EOC,SOL,              14,              28,               9,              42,              51,    27.45,    54.90,    17.65,    82.35,  460
2021-2022,1,Accomack County ,540,Arcadia High,English:Writing,"White, not of Hispanic origin",EOC,SOL,               9,              30,              14,              39,              53,    16.98,    56.60,    26.42,    73.58,  439
2021-2022,1,Accomack County ,540,Arcadia High,History and Social Science,"White, not of Hispanic origin",EOC,SOL,               5,              32,              46,              37,              83,     6.02,    38.55,    55.42,    44.58,  400
2021-2022,1,Accomack County ,540,Arcadia High,Mathematics,"White, not of Hispanic origin",EOC,SOL,               2,              48,              11,              50,              61,     3.28,    78.69,    18.03,    81.97,  426
2021-2022,1,Accomack County ,540,Arcadia High,Science,"White, not of Hispanic origin",EOC,SOL,               7,              35,              15,              42,              57,    12.28,    61.40,    26.32,    73.68,  432
2021-2022,1,Accomack County ,704,Arcadia Middle ,Mathematics,"Black, not of Hispanic origin",EOC,SOL,<,<,<,<,<,<,<,<50,>50,  510
2021-2022,1,Accomack County ,704,Arcadia Middle ,Mathematics,Hispanic,EOC,SOL,<,<,<,<,<,<,<,<50,>50,  534
2021-2022,1,Accomack County ,704,Arcadia Middle ,Mathematics,"White, not of Hispanic origin",EOC,SOL,<,<,<,<,<,<,<,<50,>50,  526
2021-2022,1,Accomack County ,580,Chincoteague High,English:Writing,Asian,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,580,Chincoteague High,Mathematics,Asian,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,580,Chincoteague High,English:Reading,"Black, not of Hispanic origin",EOC,SOL,<,<,<,<,<,<,<,<50,>50,  424
2021-2022,1,Accomack County ,580,Chincoteague High,English:Writing,"Black, not of Hispanic origin",EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,580,Chincoteague High,History and Social Science,"Black, not of Hispanic origin",EOC,SOL,<,<,<,<,              10,<,<,>50,<50,  402
2021-2022,1,Accomack County ,580,Chincoteague High,Mathematics,"Black, not of Hispanic origin",EOC,SOL,<,<,<,<,<,<,<,<50,>50,  454
2021-2022,1,Accomack County ,580,Chincoteague High,Science,"Black, not of Hispanic origin",EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,580,Chincoteague High,English:Reading,Hispanic,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,580,Chincoteague High,English:Writing,Hispanic,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,580,Chincoteague High,History and Social Science,Hispanic,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,580,Chincoteague High,Science,Hispanic,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,580,Chincoteague High,English:Reading,"Non-Hispanic, two or more races",EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,580,Chincoteague High,English:Writing,"Non-Hispanic, two or more races",EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,580,Chincoteague High,History and Social Science,"Non-Hispanic, two or more races",EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,580,Chincoteague High,Mathematics,"Non-Hispanic, two or more races",EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,580,Chincoteague High,English:Reading,"White, not of Hispanic origin",EOC,SOL,              10,              16,               1,              26,              27,    37.04,    59.26,     3.70,    96.30,  477
2021-2022,1,Accomack County ,580,Chincoteague High,English:Writing,"White, not of Hispanic origin",EOC,SOL,              14,              15,               2,              29,              31,    45.16,    48.39,     6.45,    93.55,  473
2021-2022,1,Accomack County ,580,Chincoteague High,History and Social Science,"White, not of Hispanic origin",EOC,SOL,               1,              15,              23,              16,              39,     2.56,    38.46,    58.97,    41.03,  397
2021-2022,1,Accomack County ,580,Chincoteague High,Mathematics,"White, not of Hispanic origin",EOC,SOL,               5,              29,               2,              34,              36,    13.89,    80.56,     5.56,    94.44,  456
2021-2022,1,Accomack County ,580,Chincoteague High,Science,"White, not of Hispanic origin",EOC,SOL,               3,              32,               6,              35,              41,     7.32,    78.05,    14.63,    85.37,  441
2021-2022,1,Accomack County ,70,Nandua High,English:Reading,Asian,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,70,Nandua High,English:Writing,Asian,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,70,Nandua High,History and Social Science,Asian,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,70,Nandua High,Mathematics,Asian,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,70,Nandua High,Science,Asian,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,70,Nandua High,English:Reading,"Black, not of Hispanic origin",EOC,SOL,               3,              38,              10,              41,              51,     5.88,    74.51,    19.61,    80.39,  428
2021-2022,1,Accomack County ,70,Nandua High,English:Writing,"Black, not of Hispanic origin",EOC,SOL,               5,              28,              25,              33,              58,     8.62,    48.28,    43.10,    56.90,  404
2021-2022,1,Accomack County ,70,Nandua High,History and Social Science,"Black, not of Hispanic origin",EOC,SOL,               2,              27,              79,              29,             108,     1.85,    25.00,    73.15,    26.85,  374
2021-2022,1,Accomack County ,70,Nandua High,Mathematics,"Black, not of Hispanic origin",EOC,SOL,               1,              67,               8,              68,              76,     1.32,    88.16,    10.53,    89.47,  429
2021-2022,1,Accomack County ,70,Nandua High,Science,"Black, not of Hispanic origin",EOC,SOL,               3,              38,              23,              41,              64,     4.69,    59.38,    35.94,    64.06,  414
2021-2022,1,Accomack County ,70,Nandua High,English:Reading,Hispanic,EOC,SOL,               5,              31,               7,              36,              43,    11.63,    72.09,    16.28,    83.72,  443
2021-2022,1,Accomack County ,70,Nandua High,English:Writing,Hispanic,EOC,SOL,               6,              27,              14,              33,              47,    12.77,    57.45,    29.79,    70.21,  427
2021-2022,1,Accomack County ,70,Nandua High,History and Social Science,Hispanic,EOC,SOL,               1,              21,              28,              22,              50,     2.00,    42.00,    56.00,    44.00,  390
2021-2022,1,Accomack County ,70,Nandua High,Mathematics,Hispanic,EOC,SOL,               3,              31,               0,              34,              34,     8.82,    91.18,      .00,100.00,  453
2021-2022,1,Accomack County ,70,Nandua High,Science,Hispanic,EOC,SOL,               1,              28,               8,              29,              37,     2.70,    75.68,    21.62,    78.38,  422
2021-2022,1,Accomack County ,70,Nandua High,English:Reading,"Non-Hispanic, two or more races",EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,70,Nandua High,English:Writing,"Non-Hispanic, two or more races",EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,70,Nandua High,History and Social Science,"Non-Hispanic, two or more races",EOC,SOL,<,<,<,<,<,<,<,<50,>50,  403
2021-2022,1,Accomack County ,70,Nandua High,Mathematics,"Non-Hispanic, two or more races",EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,70,Nandua High,Science,"Non-Hispanic, two or more races",EOC,SOL,<,<,<,<,<,<,<,<50,>50,  452
2021-2022,1,Accomack County ,70,Nandua High,English:Reading,"White, not of Hispanic origin",EOC,SOL,              16,              33,               3,              49,              52,    30.77,    63.46,     5.77,    94.23,  468
2021-2022,1,Accomack County ,70,Nandua High,English:Writing,"White, not of Hispanic origin",EOC,SOL,              11,              33,               8,              44,              52,    21.15,    63.46,    15.38,    84.62,  447
2021-2022,1,Accomack County ,70,Nandua High,History and Social Science,"White, not of Hispanic origin",EOC,SOL,               2,              48,              29,              50,              79,     2.53,    60.76,    36.71,    63.29,  409
2021-2022,1,Accomack County ,70,Nandua High,Mathematics,"White, not of Hispanic origin",EOC,SOL,               3,              48,               8,              51,              59,     5.08,    81.36,    13.56,    86.44,  437
2021-2022,1,Accomack County ,70,Nandua High,Science,"White, not of Hispanic origin",EOC,SOL,              11,              31,               8,              42,              50,    22.00,    62.00,    16.00,    84.00,  447
2021-2022,1,Accomack County ,703,Nandua Middle,Mathematics,Asian,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,703,Nandua Middle,Mathematics,"Black, not of Hispanic origin",EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,703,Nandua Middle,Mathematics,Hispanic,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,703,Nandua Middle,Mathematics,"White, not of Hispanic origin",EOC,SOL,               3,              10,               0,              13,              13,    23.08,    76.92,      .00,100.00,  467
2021-2022,1,Accomack County ,530,Tangier Combined,English:Reading,"White, not of Hispanic origin",EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,530,Tangier Combined,English:Writing,"White, not of Hispanic origin",EOC,SOL,<,<,<,<,<,<,<,<50,>50,  459
2021-2022,1,Accomack County ,530,Tangier Combined,History and Social Science,"White, not of Hispanic origin",EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,530,Tangier Combined,Mathematics,"White, not of Hispanic origin",EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,530,Tangier Combined,Science,"White, not of Hispanic origin",EOC,SOL,<,<,<,<,<,<,<,>50,<50,
2021-2022,2,Albemarle County ,880,Albemarle High,English:Reading,American Indian or Alaska Native,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,2,Albemarle County ,880,Albemarle High,English:Reading,Asian,EOC,SOL,              15,              16,               7,              31,              38,    39.47,    42.11,    18.42,    81.58,  474
2021-2022,2,Albemarle County ,880,Albemarle High,History and Social Science,Asian,EOC,SOL,              17,              27,              11,              44,              55,    30.91,    49.09,    20.00,    80.00,  456
2021-2022,2,Albemarle County ,880,Albemarle High,Mathematics,Asian,EOC,SOL,              14,              28,               7,              42,              49,    28.57,    57.14,    14.29,    85.71,  459
2021-2022,2,Albemarle County ,880,Albemarle High,Science,Asian,EOC,SOL,               9,              33,               9,              42,              51,    17.65,    64.71,    17.65,    82.35,  448
2021-2022,2,Albemarle County ,880,Albemarle High,English:Reading,"Black, not of Hispanic origin",EOC,SOL,               5,              50,              31,              55,              86,     5.81,    58.14,    36.05,    63.95,  415
2021-2022,2,Albemarle County ,880,Albemarle High,English:Writing,"Black, not of Hispanic origin",EOC,SOL,<,<,<,<,<,<,<,>50,<50,
2021-2022,2,Albemarle County ,880,Albemarle High,History and Social Science,"Black, not of Hispanic origin",EOC,SOL,               1,              40,              66,              41,             107,      .93,    37.38,    61.68,    38.32,  387
2021-2022,2,Albemarle County ,880,Albemarle High,Mathematics,"Black, not of Hispanic origin",EOC,SOL,               0,              45,              43,              45,              88,      .00,    51.14,    48.86,    51.14,  399
2021-2022,2,Albemarle County ,880,Albemarle High,Science,"Black, not of Hispanic origin",EOC,SOL,               3,              40,              86,              43,             129,     2.33,    31.01,    66.67,    33.33,  384
2021-2022,2,Albemarle County ,880,Albemarle High,English:Reading,Hispanic,EOC,SOL,               7,              32,              39,              39,              78,     8.97,    41.03,    50.00,    50.00,  394
2021-2022,2,Albemarle County ,880,Albemarle High,English:Writing,Hispanic,EOC,SOL,<,<,<,<,<,<,<,>50,<50,
2021-2022,2,Albemarle County ,880,Albemarle High,History and Social Science,Hispanic,EOC,SOL,               6,              46,              84,              52,             136,     4.41,    33.82,    61.76,    38.24,  387
2021-2022,2,Albemarle County ,880,Albemarle High,Mathematics,Hispanic,EOC,SOL,               3,              56,              60,              59,             119,     2.52,    47.06,    50.42,    49.58,  399
2021-2022,2,Albemarle County ,880,Albemarle High,Science,Hispanic,EOC,SOL,               6,              56,             108,              62,             170,     3.53,    32.94,    63.53,    36.47,  384
2021-2022,2,Albemarle County ,880,Albemarle High,English:Reading,"Non-Hispanic, two or more races",EOC,SOL,               9,              19,               1,              28,              29,    31.03,    65.52,     3.45,    96.55,  475
2021-2022,2,Albemarle County ,880,Albemarle High,History and Social Science,"Non-Hispanic, two or more races",EOC,SOL,               5,              13,              28,              18,              46,    10.87,    28.26,    60.87,    39.13,  399
2021-2022,2,Albemarle County ,880,Albemarle High,Mathematics,"Non-Hispanic, two or more races",EOC,SOL,               1,              17,              15,              18,              33,     3.03,    51.52,    45.45,    54.55,  396
2021-2022,2,Albemarle County ,880,Albemarle High,Science,"Non-Hispanic, two or more races",EOC,SOL,               5,              20,              15,              25,              40,    12.50,    50.00,    37.50,    62.50,  415
