School Year,Division Number,Division Name,School Number,School Name,Subject,Disadvantaged,Test Level,Test Source,Pass Advanced Count,Pass Proficient Count,Fail Count,Pass Count,Total Count,Pass Advanced Rate,Pass Proficient Rate,Fail Rate,Pass Rate,Average SOL Scaled Score
2021-2022,1,Accomack County ,540,Arcadia High,English:Reading,N,EOC,SOL,              13,              45,              19,              58,              77,    16.88,    58.44,    24.68,    75.32,  436
2021-2022,1,Accomack County ,540,Arcadia High,English:Reading,Y,EOC,SOL,               8,              52,              20,              60,              80,    10.00,    65.00,    25.00,    75.00,  432
2021-2022,1,Accomack County ,540,Arcadia High,English:Writing,N,EOC,SOL,              11,              52,              34,              63,              97,    11.34,    53.61,    35.05,    64.95,  419
2021-2022,1,Accomack County ,540,Arcadia High,English:Writing,Y,EOC,SOL,               3,              36,              24,              39,              63,     4.76,    57.14,    38.10,    61.90,  411
2021-2022,1,Accomack County ,540,Arcadia High,History and Social Science,N,EOC,SOL,               4,              54,              94,              58,             152,     2.63,    35.53,    61.84,    38.16,  389
2021-2022,1,Accomack County ,540,Arcadia High,History and Social Science,Y,EOC,SOL,               3,              41,             100,              44,             144,     2.08,    28.47,    69.44,    30.56,  383
2021-2022,1,Accomack County ,540,Arcadia High,Mathematics,N,EOC,SOL,               2,              67,              22,              69,              91,     2.20,    73.63,    24.18,    75.82,  419
2021-2022,1,Accomack County ,540,Arcadia High,Mathematics,Y,EOC,SOL,               4,              72,              29,              76,             105,     3.81,    68.57,    27.62,    72.38,  418
2021-2022,1,Accomack County ,540,Arcadia High,Science,N,EOC,SOL,               6,              64,              33,              70,             103,     5.83,    62.14,    32.04,    67.96,  416
2021-2022,1,Accomack County ,540,Arcadia High,Science,Y,EOC,SOL,               3,              56,              50,              59,             109,     2.75,    51.38,    45.87,    54.13,  400
2021-2022,1,Accomack County ,704,Arcadia Middle ,Mathematics,N,EOC,SOL,<,<,<,<,<,<,<,<50,>50,  517
2021-2022,1,Accomack County ,704,Arcadia Middle ,Mathematics,Y,EOC,SOL,<,<,<,<,<,<,<,<50,>50,  528
2021-2022,1,Accomack County ,580,Chincoteague High,English:Reading,N,EOC,SOL,               9,              14,               2,              23,              25,    36.00,    56.00,     8.00,    92.00,  474
2021-2022,1,Accomack County ,580,Chincoteague High,English:Reading,Y,EOC,SOL,               3,               8,               1,              11,              12,    25.00,    66.67,     8.33,    91.67,  458
2021-2022,1,Accomack County ,580,Chincoteague High,English:Writing,N,EOC,SOL,              14,              13,               3,              27,              30,    46.67,    43.33,    10.00,    90.00,  473
2021-2022,1,Accomack County ,580,Chincoteague High,English:Writing,Y,EOC,SOL,               1,               8,               1,               9,              10,    10.00,    80.00,    10.00,    90.00,  458
2021-2022,1,Accomack County ,580,Chincoteague High,History and Social Science,N,EOC,SOL,               1,              15,              13,              16,              29,     3.45,    51.72,    44.83,    55.17,  405
2021-2022,1,Accomack County ,580,Chincoteague High,History and Social Science,Y,EOC,SOL,               2,               5,              16,               7,              23,     8.70,    21.74,    69.57,    30.43,  399
2021-2022,1,Accomack County ,580,Chincoteague High,Mathematics,N,EOC,SOL,               6,              18,               2,              24,              26,    23.08,    69.23,     7.69,    92.31,  463
2021-2022,1,Accomack County ,580,Chincoteague High,Mathematics,Y,EOC,SOL,               1,              16,               1,              17,              18,     5.56,    88.89,     5.56,    94.44,  449
2021-2022,1,Accomack County ,580,Chincoteague High,Science,N,EOC,SOL,               3,              23,               4,              26,              30,    10.00,    76.67,    13.33,    86.67,  447
2021-2022,1,Accomack County ,580,Chincoteague High,Science,Y,EOC,SOL,               0,              13,               3,              13,              16,      .00,    81.25,    18.75,    81.25,  426
2021-2022,1,Accomack County ,70,Nandua High,English:Reading,N,EOC,SOL,              17,              50,               6,              67,              73,    23.29,    68.49,     8.22,    91.78,  462
2021-2022,1,Accomack County ,70,Nandua High,English:Reading,Y,EOC,SOL,               8,              55,              14,              63,              77,    10.39,    71.43,    18.18,    81.82,  434
2021-2022,1,Accomack County ,70,Nandua High,English:Writing,N,EOC,SOL,              18,              57,              25,              75,             100,    18.00,    57.00,    25.00,    75.00,  433
2021-2022,1,Accomack County ,70,Nandua High,English:Writing,Y,EOC,SOL,               5,              34,              22,              39,              61,     8.20,    55.74,    36.07,    63.93,  413
2021-2022,1,Accomack County ,70,Nandua High,History and Social Science,N,EOC,SOL,               4,              60,              64,              64,             128,     3.13,    46.88,    50.00,    50.00,  398
2021-2022,1,Accomack County ,70,Nandua High,History and Social Science,Y,EOC,SOL,               2,              42,              75,              44,             119,     1.68,    35.29,    63.03,    36.97,  382
2021-2022,1,Accomack County ,70,Nandua High,Mathematics,N,EOC,SOL,               7,              64,               6,              71,              77,     9.09,    83.12,     7.79,    92.21,  445
2021-2022,1,Accomack County ,70,Nandua High,Mathematics,Y,EOC,SOL,               1,              87,              10,              88,              98,     1.02,    88.78,    10.20,    89.80,  432
2021-2022,1,Accomack County ,70,Nandua High,Science,N,EOC,SOL,              12,              51,              16,              63,              79,    15.19,    64.56,    20.25,    79.75,  438
2021-2022,1,Accomack County ,70,Nandua High,Science,Y,EOC,SOL,               4,              53,              24,              57,              81,     4.94,    65.43,    29.63,    70.37,  420
2021-2022,1,Accomack County ,703,Nandua Middle,Mathematics,N,EOC,SOL,               8,               9,               0,              17,              17,    47.06,    52.94,      .00,100.00,  486
2021-2022,1,Accomack County ,703,Nandua Middle,Mathematics,Y,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,530,Tangier Combined,English:Reading,N,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,530,Tangier Combined,English:Writing,N,EOC,SOL,<,<,<,<,<,<,<,<50,>50,  459
2021-2022,1,Accomack County ,530,Tangier Combined,History and Social Science,N,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,530,Tangier Combined,History and Social Science,Y,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,530,Tangier Combined,Mathematics,Y,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,530,Tangier Combined,Science,N,EOC,SOL,<,<,<,<,<,<,<,>50,<50,
2021-2022,1,Accomack County ,530,Tangier Combined,Science,Y,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,2,Albemarle County ,880,Albemarle High,English:Reading,N,EOC,SOL,             138,             153,              37,             291,             328,    42.07,    46.65,    11.28,    88.72,  479
2021-2022,2,Albemarle County ,880,Albemarle High,English:Reading,Y,EOC,SOL,              14,              84,              58,              98,             156,     8.97,    53.85,    37.18,    62.82,  415
2021-2022,2,Albemarle County ,880,Albemarle High,English:Writing,N,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,2,Albemarle County ,880,Albemarle High,English:Writing,Y,EOC,SOL,<,<,<,<,<,<,<,>50,<50,
2021-2022,2,Albemarle County ,880,Albemarle High,History and Social Science,N,EOC,SOL,              70,             227,             100,             297,             397,    17.63,    57.18,    25.19,    74.81,  439
2021-2022,2,Albemarle County ,880,Albemarle High,History and Social Science,Y,EOC,SOL,               7,              86,             140,              93,             233,     3.00,    36.91,    60.09,    39.91,  388
2021-2022,2,Albemarle County ,880,Albemarle High,Mathematics,N,EOC,SOL,              40,             234,              86,             274,             360,    11.11,    65.00,    23.89,    76.11,  433
2021-2022,2,Albemarle County ,880,Albemarle High,Mathematics,Y,EOC,SOL,               0,              97,              93,              97,             190,      .00,    51.05,    48.95,    51.05,  397
2021-2022,2,Albemarle County ,880,Albemarle High,Science,N,EOC,SOL,              50,             293,             138,             343,             481,    10.40,    60.91,    28.69,    71.31,  428
2021-2022,2,Albemarle County ,880,Albemarle High,Science,Y,EOC,SOL,               6,             105,             157,             111,             268,     2.24,    39.18,    58.58,    41.42,  387
2021-2022,2,Albemarle County ,890,Community Lab School,English:Reading,N,EOC,SOL,               5,              21,               1,              26,              27,    18.52,    77.78,     3.70,    96.30,  469
2021-2022,2,Albemarle County ,890,Community Lab School,English:Reading,Y,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,2,Albemarle County ,890,Community Lab School,English:Writing,N,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,2,Albemarle County ,890,Community Lab School,History and Social Science,N,EOC,SOL,               0,              19,              10,              19,              29,      .00,    65.52,    34.48,    65.52,  413
2021-2022,2,Albemarle County ,890,Community Lab School,History and Social Science,Y,EOC,SOL,<,<,<,<,<,<,<,>50,<50,
2021-2022,2,Albemarle County ,890,Community Lab School,Mathematics,N,EOC,SOL,               1,              42,              16,              43,              59,     1.69,    71.19,    27.12,    72.88,  412
2021-2022,2,Albemarle County ,890,Community Lab School,Mathematics,Y,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,2,Albemarle County ,890,Community Lab School,Science,N,EOC,SOL,               7,              35,               5,              42,              47,    14.89,    74.47,    10.64,    89.36,  436
2021-2022,2,Albemarle County ,890,Community Lab School,Science,Y,EOC,SOL,<,<,<,<,<,<,<,<50,>50,  413
2021-2022,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,N,EOC,SOL,              27,              97,              10,             124,             134,    20.15,    72.39,     7.46,    92.54,  446
2021-2022,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,Y,EOC,SOL,               5,              36,               4,              41,              45,    11.11,    80.00,     8.89,    91.11,  450
2021-2022,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,N,EOC,SOL,              66,              71,               4,             137,             141,    46.81,    50.35,     2.84,    97.16,  496
2021-2022,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,Y,EOC,SOL,               4,              25,               5,              29,              34,    11.76,    73.53,    14.71,    85.29,  436
2021-2022,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,N,EOC,SOL,              54,             205,              15,             259,             274,    19.71,    74.82,     5.47,    94.53,  462
2021-2022,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,Y,EOC,SOL,<,<,<,<,<,<,<,<50,>50,  441
2021-2022,2,Albemarle County ,1051,Lakeside Middle,Mathematics,N,EOC,SOL,              39,             140,               6,             179,             185,    21.08,    75.68,     3.24,    96.76,  464
2021-2022,2,Albemarle County ,1051,Lakeside Middle,Mathematics,Y,EOC,SOL,               2,              21,               1,              23,              24,     8.33,    87.50,     4.17,    95.83,  442
2021-2022,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,N,EOC,SOL,              16,              57,              10,              73,              83,    19.28,    68.67,    12.05,    87.95,  438
2021-2022,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,Y,EOC,SOL,               1,              13,               2,              14,              16,     6.25,    81.25,    12.50,    87.50,  421
2021-2022,2,Albemarle County ,1052,Monticello High,English:Reading,N,EOC,SOL,              78,             139,              10,             217,             227,    34.36,    61.23,     4.41,    95.59,  478
2021-2022,2,Albemarle County ,1052,Monticello High,English:Reading,Y,EOC,SOL,              13,              63,              35,              76,             111,    11.71,    56.76,    31.53,    68.47,  423
2021-2022,2,Albemarle County ,1052,Monticello High,History and Social Science,N,EOC,SOL,              10,             147,              51,             157,             208,     4.81,    70.67,    24.52,    75.48,  427
2021-2022,2,Albemarle County ,1052,Monticello High,History and Social Science,Y,EOC,SOL,               2,              55,              66,              57,             123,     1.63,    44.72,    53.66,    46.34,  389
2021-2022,2,Albemarle County ,1052,Monticello High,Mathematics,N,EOC,SOL,              10,             149,              69,             159,             228,     4.39,    65.35,    30.26,    69.74,  417
